timestamp,producto_id,id_hierarquico,hash,visitas,guardados,preguntas,conversion_rate,prob_exito,decision,accion_tomada
1778534385.0239146,DEMO-001,612.24.55.01.84.18.60.22,61224550184186022,52,6,2,0.0192307692307692,0.248076923076923,DESCONTINUAR,"Pausar publicidad, liquidar stock, archivar silo"
1778534385.0289216,DEMO-002,882.36.40.01.52.73.91.59,88236400152739159,81,9,2,0.0123456790123456,0.2419753086419753,DESCONTINUAR,"Pausar publicidad, liquidar stock, archivar silo"
1778534385.031431,DEMO-003,045.06.38.98.36.10.30.21,4506389836103021,93,13,4,0.010752688172043,0.2537634408602151,DESCONTINUAR,"Pausar publicidad, liquidar stock, archivar silo"
1778534385.0349357,TEST-001,973.86.03.65.14.54.65.48,97386036514546548,93,8,2,0.032258064516129,0.2397849462365591,DESCONTINUAR,"Pausar publicidad, liquidar stock, archivar silo"
1778534385.0369372,TEST-002,434.91.17.05.15.88.14.98,43491170515881498,95,3,1,0.0421052631578947,0.2242105263157895,DESCONTINUAR,"Pausar publicidad, liquidar stock, archivar silo"
1778534385.0404406,TEST-003,344.02.78.08.25.43.37.52,34402780825433752,39,5,1,0.0512820512820512,0.258974358974359,DESCONTINUAR,"Pausar publicidad, liquidar stock, archivar silo"
1778534385.0424447,TEST-004,143.47.93.51.92.16.74.46,14347935192167446,54,1,1,0.037037037037037,0.2203703703703703,DESCONTINUAR,"Pausar publicidad, liquidar stock, archivar silo"
1778534385.0449543,TEST-001,605.27.19.30.46.27.48.54,60527193046274854,90,11,0,0.0666666666666666,0.2566666666666667,DESCONTINUAR,"Pausar publicidad, liquidar stock, archivar silo"
1778534385.0479558,TEST-002,829.75.15.87.39.48.13.28,82975158739481328,65,6,3,0.0,0.2369230769230769,DESCONTINUAR,"Pausar publicidad, liquidar stock, archivar silo"
1778534385.0504591,TEST-003,180.88.16.85.58.45.72.64,18088168558457264,95,14,0,0.0421052631578947,0.2568421052631579,DESCONTINUAR,"Pausar publicidad, liquidar stock, archivar silo"
1778534385.0524626,TEST-004,229.95.48.48.45.18.25.31,22995484845182531,32,0,1,0.03125,0.215625,DESCONTINUAR,"Pausar publicidad, liquidar stock, archivar silo"
